stt,poiDesc,tenphanloaidisan,tenloaihinhdisan,thongtingioithieu,giave,giavetreem,tentinh,tenhuyenthithanh,tenxaphuong,diachi,correctedCoords,poiLong,poiLat,anhdaidien,geometry,poiAddr
1,Điện Thái Hòa và Sân Đại Triều Nghi,Di sản văn hóa vật thể,Di tích lịch sử,"Tọa lạc ở vị trí quan trọng nhất trong Đại Nội, Điện Thái Hòa đã từng chứng kiến sự đăng quang của 13 vua Nguyễn từ Gia Long đến Bảo Đại. Trong suốt triều đại quân chủ Việt Nam, Hoàng đế được xem là vị chúa vĩ đại nhất. Chính vì thế mà cung điện này một thời là trung tâm của đất nước.",NA,NA,Tỉnh Thừa Thiên Huế,Thành phố Huế,Phường Thuận Hòa,Đường 23 tháng 8,"16.468674416745678, 107.57841284811686",107.5784,16.46885,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/5418/2022/07/4447.jpg,POINT (107.5784 16.46885),"Đường 23 tháng 8, Phường Thuận Hòa, Thành phố Huế"
2,Đàn Xã Tắc,Di sản văn hóa vật thể,Di tích lịch sử,"Đàn tế thần đất và thần lúa của triều Nguyễn ở Kinh đô Huế. Đàn tọa lạc ở bên trong Kinh thành, phía tây của Hoàng thành, xưa thuộc xã Hữu Niên (sau thành phường Ngưng Tích), nay thuộc địa phận phường Thuận Hòa, Thành phố Huế.",,,Tỉnh Thừa Thiên Huế,Thành phố Huế,Phường Thuận Hòa,Xã Tắc,"16.465010456947144, 107.57122951817894",107.57124,16.46521,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/5418/2022/07/dan_xa_tac.jpg,POINT (107.57124 16.46521),"Xã Tắc, Phường Thuận Hòa, Thành phố Huế"
3,Điện Cần Chánh,Di sản văn hóa vật thể,Di tích lịch sử,"Cần Chánh là ngôi điện dùng làm nơi thường triều của vua Nguyễn trong Tử Cấm Thành, nay đã trở thành phế tích. Điện được xây dựng năm Gia Long thứ 3 (1804), sau còn được tu bổ nhiều lần. Đây vốn là ngôi điện có kết cấu gỗ lớn và đẹp nhất trong Tử Cấm thành. Điện đặt trên một nền đài cao gần 1m, bó vỉa bằng gạch vồ và đá thanh. Diện tích, mặt nền gần 1000m2. Chính điện 5 gian, 2 chái kép, tiền điện 7 gian, 2 chái đơn, hai bên đông tây có 4 hồi lang mỗi bên 5 gian nối qua điện Văn Minh, Võ Hiển và qua Tả Vu, Hữu Vu. Toàn bộ bộ khung gỗ gồm 80 chiếc cột bằng gỗ lim. Phần lớn kết cấu bộ khung bên trên (xuyên, trến, kèo, đòn tay, hệ thống con-xon, các liên ba...) đều được chạm trổ  trang trí rất tinh xảo",,,Tỉnh Thừa Thiên Huế,Thành phố Huế,Phường Thuận Hòa,,"16.469526246461946, 107.57777495136858",107.5778,16.46975,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/5418/2022/07/dien_can_chanh.jpg,POINT (107.5778 16.46975),", Phường Thuận Hòa, Thành phố Huế"
4,Điện Hòn Chén,Di sản văn hóa vật thể,Di tích lịch sử,"Thấp thoáng giữa những rừng cây xanh um trải dài từ chân đến đỉnh ngọn núi Ngọc Trản và bình yên soi bóng bên dòng sông Hương trong xanh huyền thoại là điện Hòn Chén, một di tích tôn giáo và danh thắng nổi tiếng thuộc quần thể di tích cố đô Huế, thuộc địa bàn làng Hải Cát, xã Hương Thọ, huyện Hương Trà.",,,Tỉnh Thừa Thiên Huế,Thành phố Huế,Xã Hương Thọ,,"16.42192703043939, 107.56296888110256",107.56302,16.42211,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/5418/2022/07/dien_hon_chen.jpg,POINT (107.56302 16.42211),", Xã Hương Thọ, Thành phố Huế"
5,Văn Thánh (Văn Miếu),Di sản văn hóa vật thể,Di tích lịch sử,"Văn Miếu hay Văn Thánh là cách gọi tắt của một ngôi miếu: Văn Thánh Miếu, ngôi miếu thờ vị Thánh về văn- người được hậu thế tôn vinh là Vạn Thế Sư Biểu (người thầy của muôn đời): Khổng Tử.",,,Tỉnh Thừa Thiên Huế,Thành phố Huế,Phường Hương Hồ,Văn Thánh,"16.452671798098326, 107.53897612643765",107.53894,16.45282,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/5418/2022/07/vanthanh.jpg,POINT (107.53894 16.45282),"Văn Thánh, Phường Hương Hồ, Thành phố Huế"
6,TỨ PHƯƠNG VÔ SỰ VÀ KHÁT VỌNG HÒA BÌNH,Di sản văn hóa vật thể,Di tích lịch sử,"Nổi bật trên nền Bắc Khuyết Đài, ở vị trí cao nhất của phía bắc Hoàng thành, lầu Tứ Phương Vô Sự là một công trình kiến trúc đặc biệt trong tổng thể kiến trúc cung đình Huế. Đây là công trình hiếm hoi của Hoàng cung quay mặt về phía bắc, và cùng với cửa Hòa Bình (cửa Bắc của Hoàng thành), làm nên một tổ hợp kiến trúc biểu thị cho ước vọng hòa bình của triều đại.",,,Tỉnh Thừa Thiên Huế,Thành phố Huế,Phường Thuận Hòa,,"16.471935708000835, 107.57585017489981",107.57595,16.47217,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/5418/2022/07/2011_214126_picture1.jpg,POINT (107.57595 16.47217),", Phường Thuận Hòa, Thành phố Huế"
7,Điện Long An,Di sản văn hóa vật thể,Di tích lịch sử,"Điện Long An được xây dựng năm 1845, thời vua Thiệu Trị (1841-1847), tại bờ Bắc sông Ngự Hà để làm nơi nghỉ lại của nhà vua sau khi ông tiến hành lễ cày ruộng Tịch Điền - lễ mở đầu cho vụ mùa mới, mỗi năm tổ chức một lần vào mùa xuân.",,,Tỉnh Thừa Thiên Huế,Thành phố Huế,Phường Đông Ba,Lê Trực,"16.471186492470384, 107.58200028037855",107.58186,16.47138,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/5418/2022/07/noithatla.jpg,POINT (107.58186 16.47138),"Lê Trực, Phường Đông Ba, Thành phố Huế"
8,Hồ Tịnh Tâm,Di sản văn hóa vật thể,Danh thắng,"Hồ Tịnh Tâm là một trong những cảnh nổi tiếng nhất của đất Kinh thành, nay thuộc địa phận phường Thuận Thành, Thành phố Huế. Nguyên xưa, hồ là một đoạn sông Kim Long được cải tạo lại, tên ban đầu là ao Ký Tế. Năm Minh Mạng thứ 3 (1822), triều Nguyễn đã huy động tới 8000 binh lính tham gia vào việc cải tạo hồ, biến nó trở thành một Ngự Uyển của Hoàng gia. Sau khi hoàn thành, hồ mang tên mới là Tịnh Tâm.",,,Tỉnh Thừa Thiên Huế,Thành phố Huế,Phường Đông Ba,,"16.47797613752832, 107.57670942084826",107.57672,16.47805,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/5418/2022/07/hotinhtam.jpg,POINT (107.57672 16.47805),", Phường Đông Ba, Thành phố Huế"
9,Lăng Dục Đức (An Lăng),Di sản văn hóa vật thể,Di tích lịch sử,"Dân gian có câu: “Sướng như vua”, quả có như vậy, nhưng không chính xác hoàn toàn bởi vì có những ông vua như vua Dục Đức là minh chứng xác đáng để phủ nhận thành ngữ trên.",,,Tỉnh Thừa Thiên Huế,Thành phố Huế,Phường An Cựu,,"16.4513382938312, 107.5931864645684",107.59295,16.45118,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/5418/2022/07/lang_duc_duc.jpg,POINT (107.59295 16.45118),", Phường An Cựu, Thành phố Huế"
10,Lăng Khải Định (Ứng Lăng),Di sản văn hóa vật thể,Di tích lịch sử,"Vua Khải Định (1916-1925) là vị vua thứ 12 của triều Nguyễn và là người cuối cùng xây dựng lăng tẩm, chuẩn bị cho sự “ra đi” của một ông vua vào buổi mạt kỳ của chế độ phong kiến. Bước lên ngai vàng vào giữa tuổi 31, Khải Định say sưa với việc xây dựng cung điện, dinh thự, lăng tẩm cho bản thân và hoàng tộc như điện Kiến Trung, cung An Định, cửa Trường An, cửa Hiển Nhơn, cửa Chương Đức, đặc biệt là Ứng Lăng. Những công trình này làm hao tổn nhiều nhân lực, của cải của binh dân, song đó cũng là những công trình có giá trị văn hóa, nghệ thuật đặc sắc.",150000,30000,Tỉnh Thừa Thiên Huế,Thành phố Huế,Xã Thủy Bằng,,"16.399015354515356, 107.59036229698924",107.59092,16.3995,https://sohoa.thuathienhue.gov.vn/uploadfiles/eform/5418/2022/07/langkhaidinh051.jpg,POINT (107.59092 16.3995),", Xã Thủy Bằng, Thành phố Huế"
